room_name,date,seat_name,availability
Group study rooms,2025-06-28,Coworking Room - Tavolo 6 per STUDIO DI GRUPPO - 4 POSTI,['13:30']
Group study rooms,2025-06-28,Coworking Room - Tavolo 1 per STUDIO DI GRUPPO - 4 POSTI,[]
Group study rooms,2025-06-28,Coworking Room - Tavolo 2 per STUDIO DI GRUPPO - 4 POSTI,[]
Group study rooms,2025-06-28,Coworking Room - Tavolo 3 per STUDIO DI GRUPPO - 4 POSTI,[]
Group study rooms,2025-06-28,Coworking Room - Tavolo 4 per STUDIO DI GRUPPO - 4 POSTI,[]
Group study rooms,2025-06-28,Coworking Room - Tavolo 5 per STUDIO DI GRUPPO - 4 POSTI,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 371 - Ala O 2,"['13:00', '13:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 375 - Ala O 2,"['13:00', '13:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 384 - Ala O 2,"['13:00', '13:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 399 - Ala O 3,"['13:00', '13:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 405 - Ala O 3,"['13:00', '13:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 381 - Ala O 2,"['13:00', '17:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 394 - Ala O 3,"['13:00', '17:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 382 - Ala O 2,['13:30']
Sale LINGUE SLAVE,2025-06-28,POSTO 389 - Ala O 2,['13:30']
Sale LINGUE SLAVE,2025-06-28,POSTO 368 - Ala O 2,"['17:00', '17:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 372 - Ala O 2,"['17:00', '17:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 377 - Ala O 2,"['17:00', '17:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 378 - Ala O 2,"['17:00', '17:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 380 - Ala O 2,"['17:00', '17:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 385 - Ala O 2,"['17:00', '17:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 395 - Ala O 3,"['17:00', '17:30']"
Sale LINGUE SLAVE,2025-06-28,POSTO 403 - Ala O 3,"['17:00', '17:30']"
Sale LINGUE SLAVE,2025-06-28,Posto 383 - Ala O 2,['17:30']
Sale LINGUE SLAVE,2025-06-28,POSTO 369 - Ala O 2,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 370 - Ala O 2,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 373 - Ala O 2,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 374 - Ala O 2,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 376 - Ala O 2,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 379 - Ala O 2,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 386 - Ala O 2,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 387 - Ala O 2,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 388 - Ala O 2,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 390 - Ala O 3,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 391 - Ala O 3,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 392 - Ala O 3,[]
Sale LINGUE SLAVE,2025-06-28,POSTO 393 - Ala O 3,[]
